"date","issue_number","category","circulation","temporal"
"1859-04-21","48","artikel","Regionaal/lokaal","Dag"
"1850-07-18","82","artikel","Regionaal/lokaal","Dag"
"1848-10-23","55","artikel","Regionaal/lokaal","Middag"
"1848-10-13","47","artikel","Regionaal/lokaal","Middag"
"1849-01-30","9","artikel","Regionaal/lokaal","Dag"
"1846-03-31","74","artikel","Regionaal/lokaal","Dag"
"1856-10-11","121","artikel","Regionaal/lokaal","Dag"
"1850-09-18","1039","artikel","Landelijk","Dag"
"1842-11-10","133","artikel","Regionaal/lokaal","Dag"
"1849-07-04","268","artikel","Regionaal/lokaal","Dag"
"1856-10-09","120","artikel","Regionaal/lokaal","Dag"
"1850-02-22","464","artikel","Regionaal/lokaal","Middag"
"1842-07-25","88","artikel","Regionaal/lokaal","Dag"
"1848-02-29","17","artikel","Regionaal/lokaal","Dag"
"1848-10-13","82","artikel","Regionaal/lokaal","Dag"
"1849-11-06","129","artikel","Regionaal/lokaal","Dag"
"1853-11-09","90","artikel","Regionaal/lokaal","Dag"
"1848-03-03","18","artikel","Regionaal/lokaal","Dag"
"1850-11-04","109","artikel","Regionaal/lokaal","Middag"
"1850-02-01","14","artikel","Regionaal/lokaal","Dag"
"1842-03-25","24","artikel","Regionaal/lokaal","Dag"
"1852-02-21","23","artikel","Regionaal/lokaal","Dag"
"1849-01-19","6","artikel","Regionaal/lokaal","Dag"
"1859-09-13","3756","artikel","Landelijk","Dag"
"1850-11-02","108","artikel","Regionaal/lokaal","Middag"
"1853-11-19","152","artikel","Landelijk","Dag"
"1856-10-07","119","artikel","Regionaal/lokaal","Dag"
"1859-01-25","11","artikel","Regionaal/lokaal","Dag"
"1856-04-18","93","artikel","Landelijk","Dag"
"1849-11-15","","artikel","Regionaal/lokaal","Dag"
"1857-07-02","154","artikel","Regionaal/lokaal","Dag"
"1853-08-30","82","artikel","Landelijk","Dag"
"1849-03-24","184","artikel","Regionaal/lokaal","Dag"
"1859-10-12","240","artikel","Regionaal/lokaal","Dag"
"1843-01-13","6","artikel","Regionaal/lokaal","Dag"
"1860-06-14","69","artikel","Regionaal/lokaal","Dag"
"1859-12-10","147","artikel","Regionaal/lokaal","Dag"
"1849-08-29","104","artikel","Regionaal/lokaal","Dag"
"1859-10-22","3790","artikel","Landelijk","Dag"
"1857-12-24","304","artikel","Regionaal/lokaal","Dag"
"1843-07-26","92","artikel","Regionaal/lokaal","Dag"
"1843-10-20","129","artikel","Regionaal/lokaal","Dag"
"1840-11-10","","artikel","Regionaal/lokaal","Dag"
"1852-02-10","12","artikel","Regionaal/lokaal","Dag"
"1850-03-15","32","artikel","Regionaal/lokaal","Dag"
"1853-10-05","113","artikel","Landelijk","Dag"
"1846-04-10","43","artikel","Regionaal/lokaal","Dag"
"1849-03-10","48","artikel","Regionaal/lokaal","Dag"
"1842-07-18","85","artikel","Regionaal/lokaal","Dag"
"1854-12-08","290","artikel","Landelijk","Dag"
"1856-10-31","131","artikel","Regionaal/lokaal","Dag"
"1849-07-27","90","artikel","Regionaal/lokaal","Dag"
"1853-10-22","128","artikel","Landelijk","Dag"
"1849-01-29","25","artikel","Landelijk","Dag"
"1842-02-16","20","artikel","Regionaal/lokaal","Dag"
"1847-02-26","17","artikel","Regionaal/lokaal","Dag"
"1844-10-11","123","artikel","Regionaal/lokaal","Dag"
"1845-04-25","33","artikel","Regionaal/lokaal","Dag"
"1851-08-08","88","artikel","Verenigde Staten","Dag"
"1860-09-11","107","artikel","Regionaal/lokaal","Dag"
"1859-06-05","45","artikel","Regionaal/lokaal","Dag"
"1853-08-11","66","artikel","Landelijk","Dag"
"1859-07-28","3717","artikel","Landelijk","Dag"
"1859-12-19","111","artikel","Nederlands-Indië / Indonesië","Dag"
"1860-07-30","179","artikel","Regionaal/lokaal","Dag"
"1843-11-01","134","artikel","Regionaal/lokaal","Dag"
"1845-09-03","106","artikel","Regionaal/lokaal","Dag"
"1850-09-23","73","artikel","Regionaal/lokaal","Middag"
"1857-03-05","55","artikel","Regionaal/lokaal","Dag"
"1860-12-20","150","artikel","Regionaal/lokaal","Dag"
"1860-05-26","62","artikel","Regionaal/lokaal","Dag"
"1843-10-24","85","artikel","Regionaal/lokaal","Dag"
"1848-05-18","118","artikel","Regionaal/lokaal","Dag"
"1851-05-05","54","artikel","Regionaal/lokaal","Dag"
"1860-07-07","159","artikel","Regionaal/lokaal","Dag"
"1851-08-15","89","artikel","Verenigde Staten","Dag"
"1853-07-11","39","artikel","Landelijk","Dag"
"1857-03-08","29","artikel","Regionaal/lokaal","Dag"
"1858-09-30","115","artikel","Regionaal/lokaal","Dag"
"1844-01-22","10","artikel","Landelijk","Dag"
"1856-09-19","113","artikel","Regionaal/lokaal","Dag"
"1848-09-23","30","artikel","Regionaal/lokaal","Middag"
"1852-09-01","1630","artikel","Landelijk","Dag"
"1860-09-11","252","artikel","Landelijk","Dag"
"1860-10-25","255","artikel","Regionaal/lokaal","Dag"
"1856-09-17","221","artikel","Landelijk","Dag"
"1858-05-13","57","artikel","Regionaal/lokaal","Dag"
"1856-03-11","31","artikel","Regionaal/lokaal","Dag"
